oftic,TICKER,CUSIP,CNAME,STATPERS,MEASURE,FPI,MEANEST,STDEV,FPEDATS,ACTUAL,ANNDATS_ACT
PEP,PEP,71344810,PEPSICO INC,2012-03-15,EPS,6,0.67,0.02,2012-03-31,0.69,2012-04-26
PEP,PEP,71344810,PEPSICO INC,2012-04-19,EPS,6,0.67,0.01,2012-03-31,0.69,2012-04-26
PEP,PEP,71344810,PEPSICO INC,2012-05-17,EPS,6,1.1,0.02,2012-06-30,1.12,2012-07-25
PEP,PEP,71344810,PEPSICO INC,2012-06-14,EPS,6,1.1,0.03,2012-06-30,1.12,2012-07-25
PEP,PEP,71344810,PEPSICO INC,2012-07-19,EPS,6,1.09,0.02,2012-06-30,1.12,2012-07-25
PEP,PEP,71344810,PEPSICO INC,2012-08-16,EPS,6,1.16,0.02,2012-09-30,1.2,2012-10-17
PEP,PEP,71344810,PEPSICO INC,2012-09-20,EPS,6,1.16,0.02,2012-09-30,1.2,2012-10-17
PEP,PEP,71344810,PEPSICO INC,2012-10-18,EPS,6,1.06,0.01,2012-12-31,1.09,2013-02-14
PEP,PEP,71344810,PEPSICO INC,2012-11-15,EPS,6,1.05,0.01,2012-12-31,1.09,2013-02-14
PEP,PEP,71344810,PEPSICO INC,2012-12-20,EPS,6,1.05,0.01,2012-12-31,1.09,2013-02-14
PEP,PEP,71344810,PEPSICO INC,2013-01-17,EPS,6,1.05,0.01,2012-12-31,1.09,2013-02-14
PEP,PEP,71344810,PEPSICO INC,2013-02-14,EPS,6,0.72,0.02,2013-03-31,0.77,2013-04-18
PEP,PEP,71344810,PEPSICO INC,2013-03-14,EPS,6,0.71,0.02,2013-03-31,0.77,2013-04-18
PEP,PEP,71344810,PEPSICO INC,2013-04-18,EPS,6,1.2,0.02,2013-06-30,1.31,2013-07-24
PEP,PEP,71344810,PEPSICO INC,2013-05-16,EPS,6,1.19,0.02,2013-06-30,1.31,2013-07-24
PEP,PEP,71344810,PEPSICO INC,2013-06-20,EPS,6,1.19,0.02,2013-06-30,1.31,2013-07-24
PEP,PEP,71344810,PEPSICO INC,2013-07-18,EPS,6,1.19,0.01,2013-06-30,1.31,2013-07-24
PEP,PEP,71344810,PEPSICO INC,2013-08-15,EPS,6,1.19,0.02,2013-09-30,1.24,2013-10-16
PEP,PEP,71344810,PEPSICO INC,2013-09-19,EPS,6,1.18,0.02,2013-09-30,1.24,2013-10-16
PEP,PEP,71344810,PEPSICO INC,2013-10-17,EPS,6,1.01,0.02,2013-12-31,1.05,2014-02-13
PEP,PEP,71344810,PEPSICO INC,2013-11-14,EPS,6,1.01,0.02,2013-12-31,1.05,2014-02-13
PEP,PEP,71344810,PEPSICO INC,2013-12-19,EPS,6,1.01,0.02,2013-12-31,1.05,2014-02-13
